Title,IMDb_rating,Year,Certificates,Genre,Director,Star_cast,MetaScore,Duration_minutes
Madame Web,3.9,2024,PG-13,Action,S.J. Clarkson,Matt SazamaBurk SharplessClaire Parker,26,116
Megalopolis,7,2024,R,Drama,Francis Ford Coppola,Adam DriverGiancarlo EspositoNathalie Emmanuel,58,116.3
Mad Max: Fury Road,8.1,2015,R,Action,George Miller,Tom HardyCharlize TheronNicholas Hoult,90,120
Atlas,5.6,2024,PG-13,Action,Brad Peyton,Jennifer LopezSimu LiuSterling K. Brown,37,118
Dune: Part Two,8.6,2024,PG-13,Action,Denis Villeneuve,Timothée ChalametZendayaRebecca Ferguson,79,166
Kingdom of the Planet of the Apes,7.2,2024,PG-13,Action,Wes Ball,Owen TeagueFreya AllanKevin Durand,66,145
Furiosa: A Mad Max Saga,7.9,2024,R,Action,George Miller,Anya Taylor-JoyChris HemsworthTom Burke,79,148
The Lion King,6.8,2019,PG,Animation,Jon Favreau,Jeff NathansonIrene MecchiJonathan Roberts,55,118
Spider-Man: Into the Spider-Verse,8.4,2018,PG,Animation,Bob Persichetti,Phil LordRodney Rothman,87,117
The Incredibles,8,2004,PG,Animation,Brad Bird,Craig T. NelsonSamuel L. JacksonHolly Hunter,90,115
Charlie and the Chocolate Factory,6.7,2005,PG,Adventure,Tim Burton,Johnny DeppFreddie HighmoreDavid Kelly,72,115
Harry Potter and the Chamber of Secrets,7.4,2002,PG,Adventure,Chris Columbus,Daniel RadcliffeRupert GrintEmma Watson,63,161
Shrek 2,7.3,2004,PG,Animation,Andrew Adamson,William SteigAndrew AdamsonJoe Stillman,75,93
Minecraft,7.1,2025,R,Action,Jared Hess,Chris BowmanHubbel PalmerAllison Schroeder,66.9,116.3
Willy Wonka & the Chocolate Factory,7.8,1971,G,Adventure,Mel Stuart,Roald DahlRobert KaufmanDavid Seltzer,67,100
The Sandlot,7.8,1993,PG,Comedy,David Mickey Evans,Tom GuiryMike VitarArt LaFleur,55,101
Stardust,7.6,2007,PG-13,Adventure,Matthew Vaughn,Charlie CoxClaire DanesSienna Miller,66,127
Elemental,7,2023,PG,Animation,Peter Sohn,John HobergKat LikkelBrenda Hsueh,58,101
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.9,2005,PG,Adventure,Andrew Adamson,Ann PeacockAndrew AdamsonChristopher Markus,75,143
Miss Peregrine's Home for Peculiar Children,6.7,2016,PG-13,Adventure,Tim Burton,Eva GreenAsa ButterfieldSamuel L. Jackson,57,127
Harry Potter and the Deathly Hallows: Part 2,8.1,2011,PG-13,Adventure,David Yates,Daniel RadcliffeEmma WatsonRupert Grint,85,130
Ratatouille,8.1,2007,G,Animation,Brad Bird,Brad BirdJan PinkavaJim Capobianco,96,111
Harry Potter and the Prisoner of Azkaban,7.9,2004,PG,Adventure,Alfonso Cuarón,Daniel RadcliffeEmma WatsonRupert Grint,82,142
The Wizard of Oz,8.1,1939,G,Adventure,Victor Fleming,Noel LangleyFlorence RyersonEdgar Allan Woolf,92,102
Moana,7.6,2016,PG,Animation,Ron Clements,Ron ClementsJohn MuskerDon Hall,81,107
Harold and the Purple Crayon,7.1,2024,PG,Animation,Carlos Saldanha,Zachary LeviLil Rel HoweryBenjamin Bottani,66.9,92
Finding Nemo,8.2,2003,G,Animation,Andrew Stanton,Andrew StantonBob PetersonDavid Reynolds,90,100
Sing 2,7.3,2021,PG,Animation,Garth Jennings,Matthew McConaugheyReese WitherspoonScarlett Johansson,49,110
Garfield: The Movie,5,2004,PG,Adventure,Peter Hewitt,Breckin MeyerJennifer Love HewittStephen Tobolowsky,27,80
The Little Mermaid,7.2,2023,PG,Adventure,Rob Marshall,David MageeHans Christian AndersenJohn Musker,59,135
Harry Potter and the Goblet of Fire,7.7,2005,PG-13,Adventure,Mike Newell,Daniel RadcliffeEmma WatsonRupert Grint,81,157
Trolls Band Together,6,2023,PG,Animation,Walt Dohrn,Anna KendrickJustin TimberlakeKenan Thompson,53,91
Transformers One,7.1,2024,R,Animation,Josh Cooley,Chris HemsworthBrian Tyree HenryScarlett Johansson,66.9,116.3
The Boy and the Heron,7.6,2023,PG-13,Animation,Hayao Miyazaki,Hayao Miyazaki,91,124
The Lion King,8.5,1994,G,Animation,Roger Allers,Irene MecchiJonathan RobertsLinda Woolverton,88,88
Cars,7.2,2006,G,Animation,John Lasseter,John LasseterJoe RanftJorgen Klubien,73,116
Shrek,7.9,2001,PG,Animation,Andrew Adamson,William SteigTed ElliottTerry Rossio,84,90
Spirited Away,8.6,2001,PG,Animation,Hayao Miyazaki,Hayao Miyazaki,96,125
Moana 2,7.1,2024,R,Animation,David G. Derrick Jr.,Gil KenanJason ReitmanIvan Reitman,66.9,116.3
The Goonies,7.7,1985,PG,Adventure,Richard Donner,Sean AstinJosh BrolinJeff Cohen,62,114
The Super Mario Bros. Movie,7,2023,PG,Animation,Aaron Horvath,Aaron HorvathMichael JelenicPierre Leduc,46,92
The Princess Bride,8,1987,PG,Adventure,Rob Reiner,William Goldman,78,98
Jumanji,7.1,1995,PG,Adventure,Joe Johnston,Jonathan HensleighGreg TaylorJim Strain,39,104
Sonic the Hedgehog 3,7.1,2024,R,Action,Jeff Fowler,Ben SchwartzColleen O'ShaughnesseyIdris Elba,66.9,116.3
Unsung Hero,7.8,2024,PG,Drama,Richard L. Ramsey,Richard L. RamseyRichard RamseyJoel Smallbone,46,113
Despicable Me 4,7.1,2024,PG,Animation,Chris Renaud,Steve CarellKristen WiigJoey King,66.9,95
Migration,6.7,2023,PG,Animation,Benjamin Renner,Mike WhiteBenjamin RennerKen Daurio,56,83
Inside Out,8.1,2015,PG,Animation,Pete Docter,Pete DocterRonnie Del CarmenMeg LeFauve,94,95
Descendants: The Rise of Red,7.1,2024,TV-G,Action,Jennifer Phang,Rita OraJoshua ColleyChina Anne McClain,66.9,116.3
Wish,5.6,2023,PG,Animation,Chris Buck,Jennifer LeeAllison MooreChris Buck,47,95
Harry Potter and the Sorcerer's Stone,7.6,2001,PG,Adventure,Chris Columbus,Daniel RadcliffeRupert GrintEmma Watson,65,152
Wonka,7,2023,PG,Adventure,Paul King,Roald DahlPaul KingSimon Farnaby,66,116
Kung Fu Panda 4,6.3,2024,PG,Animation,Mike Mitchell,Jonathan AibelGlenn BergerDarren Lemke,54,94
Inside Out 2,7.1,2024,PG,Animation,Kelsey Mann,Amy PoehlerPhyllis SmithLewis Black,66.9,100
Thelma the Unicorn,5.8,2024,PG,Animation,Jared Hess,Brittany HowardWill ForteJon Heder,64,93
The Garfield Movie,5.9,2024,PG,Animation,Mark Dindal,Paul A. KaplanMark TorgoveDavid Reynolds,31,101
IF,6.7,2024,PG,Animation,John Krasinski,Cailey FlemingRyan ReynoldsJohn Krasinski,46,104
Twister,6.5,1996,PG-13,Action,Jan de Bont,Helen HuntBill PaxtonCary Elwes,68,113
Land of Bad,6.5,2024,R,Action,William Eubank,Liam HemsworthRussell CroweLuke Hemsworth,57,113
You Can't Run Forever,4.4,2024,R,Drama,Michelle Schumacher,J.K. SimmonsFernanda UrrejolaAllen Leech,66.9,102
Saltburn,7,2023,R,Drama,Emerald Fennell,Barry KeoghanJacob ElordiRosamund Pike,61,131
Pearl,7,2022,R,Drama,Ti West,Ti WestMia Goth,76,103
Force of Nature: The Dry 2,6,2024,R,Crime,Robert Connolly,Eric BanaAnna TorvDeborra-Lee Furness,58,120
The Crow,7.1,2024,R,Action,Rupert Sanders,Bill SkarsgårdFKA twigsDanny Huston,66.9,116.3
Anatomy of a Fall,7.7,2023,R,Crime,Justine Triet,Sandra HüllerSwann ArlaudMilo Machado-Graner,86,151
The Surfer,7.4,2024,R,Thriller,Lorcan Finnegan,Nicolas CageJulian McMahonNicholas Cassim,69,116.3
Manjummel Boys,8.4,2024,R,Adventure,Chidambaram,Soubin ShahirSreenath BhasiBalu Varghese,66.9,116.3
The Invitation,5.3,2022,PG-13,Horror,Jessica M. Thompson,Nathalie EmmanuelThomas DohertySean Pertwee,45,105
The Watchers,7.1,2024,PG-13,Fantasy,Ishana Shyamalan,Dakota FanningGeorgina CampbellOlwen Fouéré,66.9,102
Where the Crawdads Sing,7.2,2022,PG-13,Drama,Olivia Newman,Daisy Edgar-JonesTaylor John SmithHarris Dickinson,43,125
Argylle,5.7,2024,PG-13,Action,Matthew Vaughn,Henry CavillBryce Dallas HowardSam Rockwell,35,139
In a Violent Nature,5.7,2024,R,Drama,Chris Nash,Chris Nash,65,116.3
The Strangers,6.1,2008,R,Horror,Bryan Bertino,Scott SpeedmanLiv TylerGemma Ward,47,86
The Judge,7.4,2014,R,Crime,David Dobkin,Nick SchenkBill DubuqueDavid Dobkin,48,141
Twisters,7.1,2024,PG-13,Action,Lee Isaac Chung,Mark L. SmithJoseph KosinskiMichael Crichton,66.9,116.3
The Last Stop in Yuma County,7,2023,R,Crime,Francis Galluppi,Jim CummingsFaizon LoveJocelin Donahue,72,90
The Hunger Games: The Ballad of Songbirds & Snakes,6.7,2023,PG-13,Action,Francis Lawrence,Rachel ZeglerTom BlythViola Davis,54,157
Upgrade,7.5,2018,R,Action,Leigh Whannell,Logan Marshall-GreenMelanie VallejoSteve Danielsen,67,100
Bullet Train,7.3,2022,R,Action,David Leitch,Brad PittJoey KingAaron Taylor-Johnson,49,127
Beverly Hills Cop: Axel F,7.1,2024,R,Action,Mark Molloy,Will BeallTom GormicanKevin Etten,66.9,115
X,6.5,2022,R,Horror,Ti West,Mia GothJenna OrtegaBrittany Snow,80,105
Bad Boys: Ride or Die,7.1,2024,R,Action,Adil El Arbi,Will SmithMartin LawrenceVanessa Hudgens,66.9,116.3
Mad Max 2: The Road Warrior,7.6,1981,R,Action,George Miller,Terry HayesGeorge MillerBrian Hannant,77,96
Sting,5.7,2024,R,Horror,Kiah Roache-Turner,Jermaine FowlerRyan CorrAlyla Browne,57,92
Monkey Man,6.9,2024,R,Action,Dev Patel,Dev PatelPaul AngunawelaJohn Collee,70,121
The Beekeeper,6.4,2024,R,Action,David Ayer,Jason StathamEmmy Raver-LampmanBobby Naderi,53,105
Love Lies Bleeding,6.7,2024,R,Action,Rose Glass,Anna BaryshnikovKristen StewartDave Franco,77,104
Dawn of the Planet of the Apes,7.6,2014,PG-13,Action,Matt Reeves,Mark BombackRick JaffaAmanda Silver,79,130
Rise of the Planet of the Apes,7.6,2011,PG-13,Action,Rupert Wyatt,James FrancoAndy SerkisFreida Pinto,68,105
Road House,6.2,2024,R,Action,Doug Liman,Anthony BagarozziChuck MondryR. Lance Hill,57,121
Planet of the Apes,5.7,2001,PG-13,Action,Tim Burton,Pierre BoulleWilliam Broyles Jr.Lawrence Konner,50,120
Mad Max,6.8,1979,R,Action,George Miller,James McCauslandGeorge MillerByron Kennedy,73,88
War for the Planet of the Apes,7.4,2017,PG-13,Action,Matt Reeves,Mark BombackMatt ReevesRick Jaffa,82,140
Longlegs,7.1,2024,R,Crime,Oz Perkins,Nicolas CageMaika MonroeAlicia Witt,66.9,101
Disturbia,6.8,2007,PG-13,Crime,D.J. Caruso,Christopher LandonCarl Ellsworth,62,105
A Simple Favor,6.8,2018,R,Comedy,Paul Feig,Anna KendrickBlake LivelyHenry Golding,67,117
Mothers' Instinct,6.3,2024,R,Drama,Benoît Delhomme,Anne HathawayJessica ChastainJosh Charles,46,116.3
Trigger Warning,7.1,2024,R,Action,Mouly Surya,Jessica AlbaMark WebberAnthony Michael Hall,66.9,116.3
Emilia Perez,7.2,2024,R,Comedy,Jacques Audiard,Jacques AudiardThomas BidegainNicolas Livecchi,70,116.3
Boy Kills World,6.5,2023,R,Action,Moritz Mohr,Tyler Burton SmithArend RemmersMoritz Mohr,47,111
Abigail,6.7,2024,R,Horror,Matt Bettinelli-Olpin,Melissa BarreraDan StevensAlisha Weir,62,109
Godzilla x Kong: The New Empire,6.2,2024,PG-13,Action,Adam Wingard,Terry RossioAdam WingardSimon Barrett,47,115
Madame Web,3.9,2024,PG-13,Action,S.J. Clarkson,Matt SazamaBurk SharplessClaire Parker,26,116
Civil War,7.4,2024,R,Action,Alex Garland,Kirsten DunstWagner MouraCailee Spaeny,75,109
Mad Max: Fury Road,8.1,2015,R,Action,George Miller,Tom HardyCharlize TheronNicholas Hoult,90,120
Atlas,5.6,2024,PG-13,Action,Brad Peyton,Jennifer LopezSimu LiuSterling K. Brown,37,118
Furiosa: A Mad Max Saga,7.9,2024,R,Action,George Miller,Anya Taylor-JoyChris HemsworthTom Burke,79,148
"Red, White & Royal Blue",7,2023,R,Comedy,Matthew López,Taylor Zakhar PerezNicholas GalitzineUma Thurman,62,118
Despicable Me 4,7.1,2024,PG,Animation,Chris Renaud,Steve CarellKristen WiigJoey King,66.9,95
Migration,6.7,2023,PG,Animation,Benjamin Renner,Mike WhiteBenjamin RennerKen Daurio,56,83
Ghostbusters: Afterlife,7,2021,PG-13,Adventure,Jason Reitman,Gil KenanJason ReitmanIvan Reitman,45,124
Sasquatch Sunset,5.6,2024,R,Action,David Zellner,Jesse EisenbergRiley KeoughChristophe Zajac-Denek,65,88
10 Things I Hate About You,7.3,1999,PG-13,Comedy,Gil Junger,Heath LedgerJulia StilesJoseph Gordon-Levitt,70,97
Babes,6.5,2024,R,Comedy,Pamela Adlon,Elena OuspenskaiaSandra BernhardOliver Platt,74,104
No Hard Feelings,6.4,2023,R,Comedy,Gene Stupnitsky,Jennifer LawrenceAndrew Barth FeldmanLaura Benanti,59,103
Ghostbusters,7.8,1984,PG,Action,Ivan Reitman,Bill MurrayDan AykroydSigourney Weaver,71,105
Borderlands,7.1,2024,R,Action,Eli Roth,Eli RothJoe Crombie,66.9,116.3
Dream Scenario,6.9,2023,R,Comedy,Kristoffer Borgli,Lily BirdNicolas CageJulianne Nicholson,74,102
Seize Them!,5,2024,R,Comedy,Curtis Vowell,Aimee Lou WoodJessica HynesMatthew Cottle,44,116.3
The Wolf of Wall Street,8.2,2013,R,Biography,Martin Scorsese,Leonardo DiCaprioJonah HillMargot Robbie,75,180
Inside Out,8.1,2015,PG,Animation,Pete Docter,Pete DocterRonnie Del CarmenMeg LeFauve,94,95
Deadpool,8,2016,R,Action,Tim Miller,Ryan ReynoldsMorena BaccarinT.J. Miller,65,108
Wish,5.6,2023,PG,Animation,Chris Buck,Jennifer LeeAllison MooreChris Buck,47,95
Madgaon Express,7.2,2024,R,Comedy,Kunal Kemmu,Divyendu SharmaPratik GandhiAvinash Tiwary,66.9,116.3
Crew,6.1,2024,R,Comedy,Rajesh A Krishnan,TabuKareena KapoorKriti Sanon,66.9,116.3
Miller's Girl,5.2,2024,R,Comedy,Jade Halley Bartlett,Martin FreemanJenna OrtegaBashir Salahuddin,41,93
Wonka,7,2023,PG,Adventure,Paul King,Roald DahlPaul KingSimon Farnaby,66,116
The Coffee Table,6.8,2022,16+,Comedy,Caye Casas,David ParejaEstefanía de los SantosJosep Maria Riera,72,91
Kung Fu Panda 4,6.3,2024,PG,Animation,Mike Mitchell,Jonathan AibelGlenn BergerDarren Lemke,54,94
Anora,7.9,2024,R,Comedy,Sean Baker,Mikey MadisonMark EydelshteynYura Borisov,89,116.3
The Holdovers,7.9,2023,R,Comedy,Alexander Payne,Paul GiamattiDa'Vine Joy RandolphDominic Sessa,82,133
Barbie,6.8,2023,PG-13,Adventure,Greta Gerwig,Margot RobbieRyan GoslingIssa Rae,80,114
Argylle,5.7,2024,PG-13,Action,Matthew Vaughn,Henry CavillBryce Dallas HowardSam Rockwell,35,139
American Fiction,7.5,2023,R,Comedy,Cord Jefferson,Jeffrey WrightTracee Ellis RossJohn Ortiz,81,117
Bullet Train,7.3,2022,R,Action,David Leitch,Brad PittJoey KingAaron Taylor-Johnson,49,127
Once Upon a Time... in Hollywood,7.6,2019,R,Comedy,Quentin Tarantino,Leonardo DiCaprioBrad PittMargot Robbie,84,161
Beverly Hills Cop: Axel F,7.1,2024,R,Action,Mark Molloy,Will BeallTom GormicanKevin Etten,66.9,115
Inside Out 2,7.1,2024,PG,Animation,Kelsey Mann,Amy PoehlerPhyllis SmithLewis Black,66.9,100
Bad Boys: Ride or Die,7.1,2024,R,Action,Adil El Arbi,Will SmithMartin LawrenceVanessa Hudgens,66.9,116.3
Beetlejuice,7.5,1988,PG,Comedy,Tim Burton,Michael McDowellLarry WilsonWarren Skaaren,71,92
Hit Man,7.4,2023,R,Action,Richard Linklater,Adria ArjonaGlen PowellRetta,83,115
Laapataa Ladies,8.5,2023,R,Comedy,Kiran Rao,Nitanshi GoelPratibha RantaSparsh Shrivastava,66.9,116.3
Ghostbusters: Frozen Empire,6.2,2024,PG-13,Adventure,Gil Kenan,Gil KenanJason ReitmanIvan Reitman,46,115
A Simple Favor,6.8,2018,R,Comedy,Paul Feig,Anna KendrickBlake LivelyHenry Golding,67,117
Poor Things,7.9,2023,R,Comedy,Yorgos Lanthimos,Emma StoneMark RuffaloWillem Dafoe,88,141
Thelma the Unicorn,5.8,2024,PG,Animation,Jared Hess,Brittany HowardWill ForteJon Heder,64,93
Unfrosted,5.5,2024,PG-13,Biography,Jerry Seinfeld,Jerry SeinfeldSpike FerestenAndy Robin,42,97
Emilia Perez,7.2,2024,R,Comedy,Jacques Audiard,Jacques AudiardThomas BidegainNicolas Livecchi,70,116.3
Anyone But You,6.1,2023,R,Comedy,Will Gluck,Ilana WolpertWill Gluck,52,103
Deadpool & Wolverine,7.1,2024,R,Action,Shawn Levy,Shawn LevyRhett ReeseRyan Reynolds,66.9,116.3
The Garfield Movie,5.9,2024,PG,Animation,Mark Dindal,Paul A. KaplanMark TorgoveDavid Reynolds,31,101
Kinds of Kindness,7,2024,R,Comedy,Yorgos Lanthimos,Efthimis FilippouYorgos Lanthimos,72,164
Mother of the Bride,4.8,2024,TV-PG,Comedy,Mark Waters,Brooke ShieldsMiranda CosgroveBenjamin Bratt,39,88
Beetlejuice Beetlejuice,7.1,2024,R,Comedy,Tim Burton,Alfred GoughMiles MillarSeth Grahame-Smith,66.9,116.3
The Idea of You,6.4,2024,R,Comedy,Michael Showalter,Anne HathawayNicholas GalitzineElla Rubin,67,115
IF,6.7,2024,PG,Animation,John Krasinski,Cailey FlemingRyan ReynoldsJohn Krasinski,46,104
The Fall Guy,7.1,2024,PG-13,Action,David Leitch,Ryan GoslingEmily BluntAaron Taylor-Johnson,73,126
